run_mode,model,exp,k,seed,acc
full,ViT-B/32,A1_template_count,1,3407,0.8758787599400715
full,ViT-B/32,A1_template_count,1,3408,0.8758787599400715
full,ViT-B/32,A1_template_count,1,3409,0.8758787599400715
full,ViT-B/32,A1_template_count,1,3410,0.8758787599400715
full,ViT-B/32,A1_template_count,1,3411,0.8758787599400715
full,ViT-B/32,A1_template_count,2,3407,0.8781837040451769
full,ViT-B/32,A1_template_count,2,3408,0.8700011524720526
full,ViT-B/32,A1_template_count,2,3409,0.8720756021666475
full,ViT-B/32,A1_template_count,2,3410,0.880373400945027
full,ViT-B/32,A1_template_count,2,3411,0.8720756021666475
full,ViT-B/32,A1_template_count,4,3407,0.8703468940878184
full,ViT-B/32,A1_template_count,4,3408,0.8644692866197995
full,ViT-B/32,A1_template_count,4,3409,0.8789904344819638
full,ViT-B/32,A1_template_count,4,3410,0.871499366140371
full,ViT-B/32,A1_template_count,4,3411,0.874841535092774
full,ViT-B/32,A1_template_count,8,3407,0.8729975798086896
full,ViT-B/32,A1_template_count,8,3408,0.8643540394145443
full,ViT-B/32,A1_template_count,8,3409,0.8660827474933733
full,ViT-B/32,A1_template_count,8,3410,0.8825630978448773
full,ViT-B/32,A1_template_count,8,3411,0.874034804655987
full,ViT-B/32,A1_template_count,16,3407,0.878644692866198
full,ViT-B/32,A1_template_count,16,3408,0.874841535092774
full,ViT-B/32,A1_template_count,16,3409,0.87103837731935
full,ViT-B/32,A1_template_count,16,3410,0.8640082977987784
full,ViT-B/32,A1_template_count,16,3411,0.8732280742192002
full,ViT-B/32,A1_template_count,34,3407,0.8728823326034344
full,ViT-B/32,A1_template_count,34,3408,0.8728823326034344
full,ViT-B/32,A1_template_count,34,3409,0.8728823326034344
full,ViT-B/32,A1_template_count,34,3410,0.8728823326034344
full,ViT-B/32,A1_template_count,34,3411,0.8728823326034344
full,ViT-B/16,A1_template_count,1,3407,0.8833698282816642
full,ViT-B/16,A1_template_count,1,3408,0.8833698282816642
full,ViT-B/16,A1_template_count,1,3409,0.8833698282816642
full,ViT-B/16,A1_template_count,1,3410,0.8833698282816642
full,ViT-B/16,A1_template_count,1,3411,0.8833698282816642
full,ViT-B/16,A1_template_count,2,3407,0.8946640543966808
full,ViT-B/16,A1_template_count,2,3408,0.8921286158810648
full,ViT-B/16,A1_template_count,2,3409,0.8830240866658984
full,ViT-B/16,A1_template_count,2,3410,0.8895931773654489
full,ViT-B/16,A1_template_count,2,3411,0.8830240866658984
full,ViT-B/16,A1_template_count,4,3407,0.8924743574968307
full,ViT-B/16,A1_template_count,4,3408,0.8817563674080904
full,ViT-B/16,A1_template_count,4,3409,0.8897084245707042
full,ViT-B/16,A1_template_count,4,3410,0.8864815028235565
full,ViT-B/16,A1_template_count,4,3411,0.8877492220813645
full,ViT-B/16,A1_template_count,8,3407,0.8891321885444278
full,ViT-B/16,A1_template_count,8,3408,0.8870577388498329
full,ViT-B/16,A1_template_count,8,3409,0.8895931773654489
full,ViT-B/16,A1_template_count,8,3410,0.8875187276708539
full,ViT-B/16,A1_template_count,8,3411,0.8916676270600438
full,ViT-B/16,A1_template_count,16,3407,0.8922438630863202
full,ViT-B/16,A1_template_count,16,3408,0.8864815028235565
full,ViT-B/16,A1_template_count,16,3409,0.8913218854442779
full,ViT-B/16,A1_template_count,16,3410,0.8848680419499827
full,ViT-B/16,A1_template_count,16,3411,0.8894779301601936
full,ViT-B/16,A1_template_count,34,3407,0.8870577388498329
full,ViT-B/16,A1_template_count,34,3408,0.8870577388498329
full,ViT-B/16,A1_template_count,34,3409,0.8870577388498329
full,ViT-B/16,A1_template_count,34,3410,0.8870577388498329
full,ViT-B/16,A1_template_count,34,3411,0.8870577388498329
