run_mode,model,exp,acc,num_samples,n_templates,agg,normalize,seed,variant,acc_std
full,ViT-B/32,B0_chance,0.01037224847297453,8677.0,0.0,none,False,3407.0,,
full,ViT-B/16,B0_chance,0.01037224847297453,8677.0,0.0,none,False,3407.0,,
full,ViT-B/32,B1_simple,0.8758787599400715,8677.0,1.0,feature_mean,True,3407.0,,
full,ViT-B/32,M1_ensemble_all,0.8728823326034344,8677.0,34.0,feature_mean,True,3407.0,,
full,ViT-B/16,B1_simple,0.8833698282816642,8677.0,1.0,feature_mean,True,3407.0,,
full,ViT-B/16,M1_ensemble_all,0.8870577388498329,8677.0,34.0,feature_mean,True,3407.0,,
full,ViT-B/32,A2_aggregation,0.8728823326034344,,,,,,feature_mean,
full,ViT-B/32,A2_aggregation,0.8667742307249049,,,,,,logit_mean,
full,ViT-B/32,A3_normalization,0.8728823326034344,,,,,,norm_on,
full,ViT-B/32,A3_normalization,0.859628903999078,,,,,,norm_off,
full,ViT-B/16,A2_aggregation,0.8870577388498329,,,,,,feature_mean,
full,ViT-B/16,A2_aggregation,0.8906304022127464,,,,,,logit_mean,
full,ViT-B/16,A3_normalization,0.8870577388498329,,,,,,norm_on,
full,ViT-B/16,A3_normalization,0.8587069263570358,,,,,,norm_off,
full,ViT-B/16,A1_template_count,0.8833698282816641,,1.0,feature_mean,True,,,0.0
full,ViT-B/16,A1_template_count,0.8884868041949983,,2.0,feature_mean,True,,,0.005299241445922275
full,ViT-B/16,A1_template_count,0.8876339748761092,,4.0,feature_mean,True,,,0.003988119505128106
full,ViT-B/16,A1_template_count,0.8889938918981214,,8.0,feature_mean,True,,,0.0018338434279973471
full,ViT-B/16,A1_template_count,0.8888786446928663,,16.0,feature_mean,True,,,0.003141834129102474
full,ViT-B/16,A1_template_count,0.887057738849833,,34.0,feature_mean,True,,,0.0
full,ViT-B/32,A1_template_count,0.8758787599400716,,1.0,feature_mean,True,,,0.0
full,ViT-B/32,A1_template_count,0.8745418923591103,,2.0,feature_mean,True,,,0.004473610904325082
full,ViT-B/32,A1_template_count,0.8720295032845453,,4.0,feature_mean,True,,,0.005399795855958982
full,ViT-B/32,A1_template_count,0.8720064538434944,,8.0,feature_mean,True,,,0.007248948437260159
full,ViT-B/32,A1_template_count,0.87235219545926,,16.0,feature_mean,True,,,0.005429232111974153
full,ViT-B/32,A1_template_count,0.8728823326034345,,34.0,feature_mean,True,,,0.0
